Id,KC,log_GSS,S
509,39.0947,-3.99306,0.937734
510,25.1323,-3.99306,0.979869
511,41.8872,-3.59512,0.870864
512,39.0947,-3.99306,0.543564
513,36.3023,-3.08997,0.599314
514,30.7173,-3.99306,0.599314
515,33.5098,-4.29409,0.599314
516,27.9248,-4.29409,0.988699
517,36.3023,-4.29409,0.543564
518,25.1323,-2.50876,0.968461
519,36.3023,-3.59512,0.918296
520,39.0947,-3.51594,0.918296
521,50.2647,-4.29409,0.811278
522,33.5098,-3.99306,0.543564
523,22.3398,-1.80273,0.599314
524,30.7173,-2.58652,0.954434
525,39.0947,-4.29409,0.776556
526,39.0947,-3.21491,0.896038
527,36.3023,-4.29409,0.650022
528,30.7173,-2.48791,0.738285
529,39.0947,-3.21491,0.954434
530,30.7173,-2.78894,0.650022
531,47.4722,-3.81697,0.870864
532,41.8872,-4.29409,0.776556
533,39.0947,-3.391,0.811278
534,47.4722,-3.51594,0.776556
535,39.0947,-3.08997,0.543564
536,41.8872,-3.21491,0.811278
537,47.4722,-3.99306,0.918296
538,30.7173,-4.29409,0.599314
539,39.0947,-3.21491,0.870864
540,44.6797,-3.81697,0.842658
541,50.2647,-2.99306,0.776556
542,44.6797,-3.69203,0.738285
543,41.8872,-4.29409,0.738285
544,36.3023,-4.29409,0.738285
545,44.6797,-3.51594,0.776556
546,50.2647,-3.21491,0.842658
547,41.8872,-3.14796,0.918296
548,47.4722,-4.29409,0.811278
549,36.3023,-3.391,0.696212
550,39.0947,-3.08997,0.896038
551,33.5098,-2.75002,0.599314
552,44.6797,-3.81697,0.811278
553,39.0947,-3.69203,0.811278
554,39.0947,-3.391,0.776556
555,27.9248,-3.01534,0.482066
556,47.4722,-3.69203,0.870864
557,44.6797,-4.29409,0.811278
558,39.0947,-2.48791,0.954434
559,41.8872,-3.69203,0.738285
560,41.8872,-4.29409,0.696212
561,36.3023,-2.75002,0.968461
562,41.8872,-4.29409,0.811278
563,50.2647,-3.99306,0.979869
564,33.5098,-3.69203,0.543564
565,44.6797,-3.99306,0.696212
566,39.0947,-3.69203,0.696212
567,39.0947,-3.81697,0.811278
568,41.8872,-3.99306,0.738285
569,36.3023,-3.44899,0.776556
570,41.8872,-3.08997,0.776556
571,39.0947,-3.69203,0.738285
572,47.4722,-4.29409,0.918296
573,47.4722,-3.99306,0.918296
574,47.4722,-4.29409,0.738285
575,41.8872,-3.69203,0.776556
576,39.0947,-4.29409,0.543564
577,41.8872,-3.69203,0.842658
578,44.6797,-3.51594,0.870864
579,41.8872,-4.29409,0.776556
580,39.0947,-3.08997,0.650022
581,39.0947,-3.21491,0.776556
582,36.3023,-3.118,0.650022
583,36.3023,-3.391,0.543564
584,44.6797,-4.29409,0.738285
585,36.3023,-4.29409,0.599314
586,41.8872,-4.29409,0.870864
587,50.2647,-3.99306,0.738285
588,27.9248,-1.55137,0.870864
589,44.6797,-3.391,0.870864
590,47.4722,-3.69203,0.842658
591,41.8872,-3.99306,0.842658
592,39.0947,-3.08997,0.482066
593,47.4722,-3.08997,0.738285
594,44.6797,-3.69203,0.776556
595,41.8872,-4.29409,0.738285
596,41.8872,-2.61285,0.870864
597,44.6797,-4.29409,0.811278
598,36.3023,-3.391,0.842658
599,44.6797,-3.69203,0.599314
600,39.0947,-4.29409,0.918296
601,36.3023,-3.51594,0.937734
602,44.6797,-4.29409,0.738285
603,36.3023,-3.69203,0.696212
604,36.3023,-3.69203,0.543564
605,39.0947,-3.391,0.696212
606,27.9248,-2.78894,0.811278
607,39.0947,-3.99306,0.776556
608,33.5098,-2.75002,0.696212
609,50.2647,-4.29409,0.842658
