Id,KC,log_GSS,TopHalf
654,41.8872,-3.33985,1
655,39.0947,-3.21491,0
656,39.0947,-3.99306,1
657,39.0947,-3.69203,1
658,47.4722,-4.29409,1
659,39.0947,-3.59512,1
660,44.6797,-3.29409,0
661,33.5098,-2.5459,0
662,33.5098,-3.21491,1
663,33.5098,-3.69203,1
664,41.8872,-3.33985,1
665,36.3023,-3.99306,1
666,39.0947,-3.391,1
667,44.6797,-4.29409,1
668,39.0947,-3.69203,1
669,33.5098,-3.69203,1
670,41.8872,-4.29409,1
671,30.7173,-3.29409,1
672,27.9248,-4.29409,1
673,33.5098,-2.391,0
674,36.3023,-3.59512,1
675,39.0947,-3.21491,1
676,33.5098,-2.80273,0
677,36.3023,-4.29409,1
678,30.7173,-3.69203,1
679,47.4722,-4.29409,1
680,33.5098,-2.87912,1
681,39.0947,-3.99306,1
682,36.3023,-4.29409,1
683,41.8872,-3.69203,1
684,36.3023,-3.59512,1
685,36.3023,-3.21491,1
686,33.5098,-2.99306,1
687,36.3023,-3.81697,1
688,41.8872,-3.69203,1
689,41.8872,-4.29409,1
690,36.3023,-3.21491,1
691,36.3023,-4.29409,1
692,36.3023,-3.99306,1
693,47.4722,-3.69203,1
694,50.2647,-4.29409,1
695,41.8872,-3.69203,1
696,55.8496,-3.69203,1
697,33.5098,-4.29409,1
698,47.4722,-4.29409,1
699,41.8872,-3.08997,0
700,44.6797,-3.69203,1
701,44.6797,-3.69203,1
702,44.6797,-4.29409,1
703,36.3023,-3.08997,1
704,33.5098,-3.69203,1
705,33.5098,-4.29409,1
706,39.0947,-3.69203,1
707,27.9248,-4.29409,1
708,44.6797,-3.118,0
709,36.3023,-3.69203,1
710,30.7173,-2.28977,0
711,39.0947,-3.99306,1
712,25.1323,-3.99306,1
713,39.0947,-2.99306,0
714,41.8872,-3.59512,1
715,39.0947,-3.99306,1
716,36.3023,-3.08997,0
717,30.7173,-3.99306,1
718,41.8872,-3.99306,1
719,33.5098,-4.29409,1
720,27.9248,-3.69203,1
721,39.0947,-3.21491,1
722,27.9248,-4.29409,1
723,36.3023,-4.29409,1
724,25.1323,-2.50876,1
725,41.8872,-3.99306,1
726,36.3023,-3.59512,1
727,39.0947,-3.51594,1
728,47.4722,-3.69203,1
729,50.2647,-4.29409,1
730,33.5098,-3.99306,1
731,22.3398,-1.80273,1
732,30.7173,-2.58652,1
733,39.0947,-3.69203,1
734,39.0947,-4.29409,1
735,44.6797,-4.29409,1
736,41.8872,-4.29409,1
737,44.6797,-4.29409,1
738,39.0947,-3.21491,1
739,36.3023,-4.29409,1
740,30.7173,-2.48791,0
741,44.6797,-3.21491,0
742,39.0947,-3.21491,1
743,30.7173,-2.78894,1
744,36.3023,-3.21491,1
745,47.4722,-3.81697,1
746,47.4722,-3.69203,1
747,36.3023,-4.29409,1
748,53.0571,-4.29409,1
749,41.8872,-4.29409,1
750,39.0947,-3.391,1
751,47.4722,-3.51594,1
752,39.0947,-3.69203,1
753,39.0947,-3.08997,0
754,41.8872,-3.21491,0
755,33.5098,-4.29409,1
756,47.4722,-3.99306,1
757,30.7173,-4.29409,1
758,39.0947,-3.21491,1
759,41.8872,-3.08997,0
760,44.6797,-3.81697,1
761,39.0947,-3.99306,1
762,44.6797,-3.81697,1
763,50.2647,-2.99306,0
764,47.4722,-3.08997,0
765,44.6797,-3.69203,1
766,44.6797,-3.69203,1
767,41.8872,-4.29409,1
768,39.0947,-3.99306,1
769,36.3023,-3.69203,1
770,36.3023,-4.29409,1
771,44.6797,-3.51594,1
772,50.2647,-3.21491,0
773,41.8872,-3.14796,0
774,41.8872,-4.29409,1
775,47.4722,-4.29409,1
776,36.3023,-3.391,1
777,27.9248,-2.76261,1
778,39.0947,-3.08997,0
779,33.5098,-2.75002,0
780,44.6797,-3.81697,1
781,39.0947,-3.69203,1
782,41.8872,-4.29409,1
783,30.7173,-2.58652,1
784,47.4722,-3.99306,1
785,39.0947,-3.391,1
786,41.8872,-4.29409,1
787,27.9248,-3.01534,1
788,47.4722,-3.69203,1
789,50.2647,-4.29409,1
790,44.6797,-4.29409,1
791,39.0947,-2.48791,0
792,41.8872,-3.69203,1
793,41.8872,-4.29409,1
794,36.3023,-2.75002,0
795,41.8872,-4.29409,1
796,50.2647,-3.99306,1
797,44.6797,-3.69203,1
798,33.5098,-3.69203,1
799,44.6797,-3.99306,1
800,39.0947,-3.69203,1
801,39.0947,-3.81697,1
802,44.6797,-3.81697,1
803,41.8872,-3.59512,1
804,41.8872,-3.99306,1
805,50.2647,-4.29409,1
806,36.3023,-3.44899,1
807,41.8872,-3.08997,0
808,41.8872,-3.69203,1
809,44.6797,-4.29409,1
810,39.0947,-3.69203,1
811,47.4722,-4.29409,1
812,47.4722,-3.99306,1
813,47.4722,-4.29409,1
814,41.8872,-3.69203,1
815,39.0947,-4.29409,1
816,41.8872,-3.69203,1
817,44.6797,-3.51594,1
818,41.8872,-4.29409,1
819,47.4722,-4.29409,1
820,39.0947,-3.08997,0
821,39.0947,-3.21491,1
822,36.3023,-3.69203,1
823,36.3023,-3.118,1
824,41.8872,-3.99306,1
825,36.3023,-3.391,1
826,44.6797,-3.69203,1
827,44.6797,-4.29409,1
828,39.0947,-4.29409,1
829,47.4722,-3.99306,1
830,36.3023,-3.21491,1
831,47.4722,-4.29409,1
832,44.6797,-3.69203,1
833,41.8872,-3.99306,1
834,36.3023,-4.29409,1
835,41.8872,-4.29409,1
836,50.2647,-3.99306,1
837,27.9248,-1.55137,0
838,44.6797,-3.391,1
839,47.4722,-3.69203,1
840,44.6797,-3.69203,1
841,41.8872,-3.99306,1
842,33.5098,-3.08997,1
843,39.0947,-3.08997,0
844,41.8872,-4.29409,1
845,47.4722,-3.69203,1
846,47.4722,-3.08997,0
847,44.6797,-3.69203,1
848,44.6797,-4.29409,1
849,41.8872,-4.29409,1
850,41.8872,-2.61285,0
851,44.6797,-4.29409,1
852,33.5098,-3.99306,1
853,36.3023,-4.29409,1
854,47.4722,-3.69203,1
855,50.2647,-3.99306,1
856,44.6797,-4.29409,1
857,41.8872,-3.69203,1
858,36.3023,-3.391,1
859,44.6797,-3.69203,1
860,39.0947,-4.29409,1
861,36.3023,-3.51594,1
862,44.6797,-3.33985,0
863,44.6797,-4.29409,1
864,30.7173,-4.29409,1
865,36.3023,-3.69203,1
866,36.3023,-3.69203,1
867,39.0947,-3.391,1
868,27.9248,-2.78894,1
869,39.0947,-3.99306,1
870,33.5098,-2.75002,0
871,50.2647,-4.29409,1
872,44.6797,-3.21491,0
873,39.0947,-3.21491,1
874,33.5098,-3.99306,1
875,41.8872,-3.59512,1
876,36.3023,-3.59512,1
877,39.0947,-3.69203,1
878,36.3023,-4.29409,1
879,33.5098,-3.29409,1
880,25.1323,-3.03882,1
881,39.0947,-4.29409,1
882,30.7173,-4.29409,1
883,30.7173,-4.29409,1
884,41.8872,-3.69203,1
885,41.8872,-4.29409,1
886,41.8872,-3.08997,0
887,39.0947,-3.69203,1
888,36.3023,-4.29409,1
889,30.7173,-2.41328,0
890,41.8872,-3.69203,1
891,44.6797,-3.08997,0
892,44.6797,-3.99306,1
893,44.6797,-3.69203,1
894,25.1323,-2.391,1
895,41.8872,-3.99306,1
896,44.6797,-3.08997,0
897,39.0947,-3.33985,1
898,36.3023,-3.99306,1
899,39.0947,-4.29409,1
900,47.4722,-3.69203,1
901,50.2647,-3.08997,0
902,50.2647,-3.69203,1
903,47.4722,-4.29409,1
904,50.2647,-3.08997,0
905,47.4722,-4.29409,1
906,39.0947,-4.29409,1
907,44.6797,-4.29409,1
908,33.5098,-3.59512,1
909,44.6797,-3.21491,0
910,41.8872,-3.69203,1
911,30.7173,-3.59512,1
912,39.0947,-4.29409,1
913,50.2647,-4.29409,1
914,39.0947,-3.69203,1
915,39.0947,-3.69203,1
916,44.6797,-2.78894,0
917,33.5098,-3.99306,1
918,44.6797,-2.78894,0
919,25.1323,-3.99306,1
920,41.8872,-3.59512,1
921,36.3023,-3.01534,0
922,39.0947,-3.59512,1
923,44.6797,-3.81697,1
924,36.3023,-4.29409,1
925,47.4722,-3.08997,0
926,44.6797,-3.69203,1
927,44.6797,-3.69203,1
928,41.8872,-4.29409,1
929,39.0947,-3.99306,1
